Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
Balance Sheet,Liability,Current,Debt,LoansPayable,Short-Term Loan
Balance Sheet,Liability,Current,Debt,LoansPayable,
Balance Sheet,Liability,Current,Debt,Overdrafts,
Balance Sheet,Liability,Current,Debt,,
Balance Sheet,Liability,Current,InterestPayable,,
Balance Sheet,Liability,Current,Personnel,EmployeeBenefitsPayable,EmployeeStockCompensation
Balance Sheet,Liability,Current,Personnel,EmployeeBenefitsPayable,
Balance Sheet,Liability,Current,Personnel,EmployeeTaxesPayable,
Balance Sheet,Liability,Current,Personnel,EmployeeWagesPayable,
Balance Sheet,Liability,Current,Personnel,PensionsPayable,
Balance Sheet,Liability,Current,Personnel,,
Balance Sheet,Liability,Current,RelatedParties,,
Balance Sheet,Liability,Current,RelatedParties,EmployeeLoansPayable,
Balance Sheet,Liability,Current,RelatedParties,IntercompanyPayable,
Balance Sheet,Liability,Current,RelatedParties,ShareholderLoansPayable,DirectorsLoansPayable
Balance Sheet,Liability,Current,RelatedParties,ShareholderLoansPayable,
Balance Sheet,Liability,Current,TaxesPayable,CorporationTaxesPayable,
Balance Sheet,Liability,Current,TaxesPayable,IncomeTaxesPayable,
Balance Sheet,Liability,Current,TaxesPayable,SalesTaxesPayable,
Balance Sheet,Liability,Current,TaxesPayable,ValueAddedTaxesPayable,
Balance Sheet,Liability,Current,TaxesPayable,,
Balance Sheet,Liability,NonCurrent,,,
Balance Sheet,Liability,NonCurrent,AccruedLiabilities,,
Balance Sheet,Liability,NonCurrent,AccruedLiabilities,DeferredRevenue,
Balance Sheet,Liability,NonCurrent,AccruedLiabilities,DeferredTaxes,
Balance Sheet,Liability,NonCurrent,Debt,CapitalLeasesObligations,
Balance Sheet,Liability,NonCurrent,Debt,FinanceLeasesObligations,
Balance Sheet,Liability,NonCurrent,Debt,LoansPayable,
Balance Sheet,Liability,NonCurrent,,,
Balance Sheet,Liability,NonCurrent,Debt,,
Balance Sheet,Liability,NonCurrent,RelatedParties,,
Balance Sheet,Liability,NonCurrent,RelatedParties,EmployeeLoansPayable,
Balance Sheet,Liability,NonCurrent,RelatedParties,IntercompanyPayable,
Balance Sheet,Liability,NonCurrent,RelatedParties,ShareholderLoansPayable,DirectorsLoansPayable
Balance Sheet,Liability,NonCurrent,RelatedParties,ShareholderLoansPayable,
Balance Sheet,Equity,,,,
Balance Sheet,Equity,OtherComprehensiveIncome,CashFlowHedges,,
Balance Sheet,Equity,OtherComprehensiveIncome,FxCurrencyTranslations,,
Balance Sheet,Equity,OtherComprehensiveIncome,,,
Balance Sheet,Equity,OwnersEquity,Drawings,,
Balance Sheet,Equity,OwnersEquity,OwnersContributions,,
Balance Sheet,Equity,OwnersEquity,,,
Balance Sheet,Equity,RelatedParties,EquityNonControllingInterests,,
Balance Sheet,Equity,RetainedEarnings,Adjustments,,
Balance Sheet,Equity,RetainedEarnings,CapitalIncomeReserves,,
Balance Sheet,Equity,RetainedEarnings,Dividends,,
Balance Sheet,Equity,RetainedEarnings,OpeningBalance,,
Balance Sheet,Equity,RetainedEarnings,,,
Balance Sheet,Equity,ShareCapital,AdditionalPaidInCapital,,
Balance Sheet,Equity,ShareCapital,CommonStock,,
Balance Sheet,Equity,ShareCapital,EmployeeStockOwnershipPlan,,
Balance Sheet,Equity,ShareCapital,PaidInCapital,,
Balance Sheet,Equity,ShareCapital,PreferredStock,,
Balance Sheet,Equity,ShareCapital,TreasuryStock,,
Balance Sheet,Equity,ShareCapital,,,
Balance Sheet,Equity,RelatedParties,,,
